,college,state,city,average_costs,graduation_rate,salary_after_attending,students
280,Louisiana Tech University,LA,Ruston,9561.0,52.0,41500.0,8009.0
281,College of Staten Island CUNY,NY,Staten Island,9246.0,28.0,41500.0,12124.0
282,Lock Haven University,PA,Lock Haven,18271.0,49.0,41500.0,3786.0
283,Longwood University,VA,Farmville,20744.0,66.0,41500.0,4326.0
284,SUNY Empire State College,NY,Saratoga Springs,14170.0,23.0,41400.0,9061.0
285,Rhode Island College,RI,Providence,10480.0,46.0,41400.0,7224.0
286,Cleveland State University,OH,Cleveland,16828.0,40.0,41300.0,11752.0
287,University of Nebraska at Kearney,NE,Kearney,15768.0,56.0,41300.0,4672.0
288,Minot State University,ND,Minot,10817.0,43.0,41200.0,2563.0
289,University of Alabama at Birmingham,AL,Birmingham,16475.0,54.0,41200.0,12047.0
290,Eastern Oregon University,OR,La Grande,14607.0,29.0,41200.0,2721.0
291,Ball State University,IN,Muncie,15521.0,59.0,41100.0,16260.0
292,Midwestern State University,TX,Wichita Falls,10383.0,42.0,41100.0,5319.0
293,University of Wisconsin-River Falls,WI,River Falls,15452.0,56.0,40900.0,5357.0
294,CUNY York College,NY,Jamaica,6638.0,29.0,40800.0,7140.0
295,Wayne State University,MI,Detroit,11366.0,37.0,40800.0,16671.0
296,University of Wisconsin-Green Bay,WI,Green Bay,14880.0,47.0,40800.0,5509.0
297,Governors State University,IL,University Park,17106.0,,40800.0,3469.0
298,Indiana University of Pennsylvania-Main Campus,PA,Indiana,18902.0,54.0,40800.0,10482.0
299,College of Charleston,SC,Charleston,17894.0,69.0,40700.0,10033.0
300,Bemidji State University,MN,Bemidji,15418.0,46.0,40600.0,4413.0
301,CUNY New York City College of Technology,NY,Brooklyn,6811.0,16.0,40600.0,16040.0
302,Minnesota State University Moorhead,MN,Moorhead,15593.0,42.0,40600.0,4968.0
303,University of Michigan-Flint,MI,Flint,14024.0,38.0,40600.0,5827.0
304,Georgia College & State University,GA,Milledgeville,19370.0,60.0,40500.0,5923.0
305,East Carolina University,NC,Greenville,15203.0,61.0,40500.0,22386.0
306,Tennessee Technological University,TN,Cookeville,14233.0,52.0,40500.0,9184.0
307,Bowling Green State University-Main Campus,OH,Bowling Green,18272.0,56.0,40500.0,13901.0
308,Ohio University-Main Campus,OH,Athens,22058.0,65.0,40500.0,23344.0
309,Morgan State University,MD,Baltimore,16918.0,31.0,40500.0,6333.0
310,Wichita State University,KS,Wichita,17640.0,44.0,40400.0,11030.0
311,Washburn University,KS,Topeka,11455.0,35.0,40300.0,4967.0
312,Angelo State University,TX,San Angelo,10728.0,36.0,40200.0,5592.0
313,Metropolitan State University of Denver,CO,Denver,13270.0,26.0,40200.0,19334.0
314,Mississippi State University,MS,Mississippi State,15656.0,60.0,40200.0,17371.0
315,University of Wisconsin-Stevens Point,WI,Stevens Point,14173.0,63.0,40200.0,8193.0
316,Northern Arizona University,AZ,Flagstaff,14664.0,53.0,40100.0,26399.0
317,Northwest Missouri State University,MO,Maryville,10986.0,50.0,40000.0,5240.0
318,The University of Texas at El Paso,TX,El Paso,7058.0,39.0,40000.0,20376.0
319,University of Wisconsin-Parkside,WI,Kenosha,11548.0,29.0,39900.0,4145.0
320,University of Louisiana at Lafayette,LA,Lafayette,10617.0,45.0,39900.0,15030.0
321,Armstrong State University,GA,Savannah,19563.0,32.0,39900.0,6180.0
322,SUNY Buffalo State,NY,Buffalo,12454.0,49.0,39800.0,8360.0
323,Southern Utah University,UT,Cedar City,13858.0,47.0,39800.0,6353.0
324,Shepherd University,WV,Shepherdstown,10939.0,47.0,39700.0,3094.0
325,Western Oregon University,OR,Monmouth,16411.0,41.0,39700.0,4807.0
326,SUNY College at Potsdam,NY,Potsdam,14796.0,53.0,39700.0,3406.0
327,Wright State University-Main Campus,OH,Dayton,15769.0,38.0,39500.0,11664.0
